season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2019,1,ARI,REG,DET,29,54,308,2,1,5,-33,0,0,567,64,16,-7.41579503399941,-9.87401770857665,1,23,112,0,0,0,3,-0.190084531437606,0,29,52,308,2,0,0,567,64,16,2.8606133444755,1,0,52,4,20,5,15,2,3,24,10,0,0,4,0,0,0,0,0,0,2,2,0,7,35,7,3,18,4,86,4,4,0,0,42,1,0,2,1,1,0,0,0,0,0,0,0,0,20;42;34;28,,,124,0,0,1,1,0,0,1,0,0,0,0,0
2019,1,ATL,REG,MIN,33,46,304,2,2,4,-32,4,0,360,118,16,-7.88009487980138,3.38206158743965,0,17,73,0,17,1,5,-7.79461754189106,0,33,45,304,2,33,0,360,118,16,-0.979245883499738,0,0,37,1,15,4,9,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,78,6,4,46,2,44,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0
2019,1,BAL,REG,MIA,23,26,379,6,0,1,-1,0,0,262,161,17,37.989696403252,28.640442609787,0,46,265,2,0,0,10,4.39739331341116,0,23,25,379,6,0,0,262,161,17,39.1626481360724,0,0,27,0,8,6,26,0,3,11,12,2,14,9,0,0,0,0,0,0,1,1,0,4,40,1,2,29,1,9,1,1,0,0,34,1,0,0,1,0,0,0,0,0,0,0,0,0,34,,,34,0,0,8,8,0,0,1,0,0,0,0,0
2019,1,BUF,REG,NYJ,24,37,254,1,2,1,-12,1,1,324,103,11,-6.4907967883104,2.83644020557404,0,25,128,1,25,1,10,-1.31013300211634,0,24,35,254,1,24,0,324,103,11,0.624999085027953,0,0,39,1,27,5,19,0,4,20,9,0,0,8,0,0,0,0,0,1,1,1,0,7,55,6,1,10,0,0,1,1,0,0,43,1,0,0,0,1,0,0,0,0,0,0,0,0,43,,,43,0,0,2,2,0,0,1,0,0,0,0,0
2019,1,CAR,REG,LA,25,38,239,0,1,3,-23,3,0,238,114,13,-2.6027920807942,-1.81538341818629,0,23,127,3,23,1,8,0.330138950725602,0,25,37,239,0,25,1,238,114,13,-4.40948671273852,0,0,45,1,19,3,10,0,1,3,6,1,0,6,0,0,0,4,0,0,0,0,0,6,46,6,2,30,2,51,2,3,1,0,52,0.666666666666667,0,0,0,1,1,0,0,0,0,0,1,0,46;52,53,,98,53,0,3,3,0,0,1,0,0,0,0,0
2019,1,CHI,REG,GB,26,45,228,0,1,5,-20,0,0,378,98,10,-14.5811267793019,-8.31255736676129,0,15,46,0,0,0,3,-4.62534390250221,0,26,44,228,0,0,0,378,98,10,-4.57127842788617,0,0,41,0,4,9,47,1,5,37,7,0,0,5,0,0,0,0,0,0,0,0,0,10,107,3,4,36,0,0,1,1,0,0,38,1,0,0,1,0,0,0,0,0,0,0,0,0,38,,,38,0,0,0,0,0,0,,0,0,0,0,0
2019,1,CIN,REG,SEA,35,51,418,2,0,5,-23,5,2,381,186,18,8.67743584828683,3.13886598664887,0,14,34,0,14,0,1,-8.60143299351197,0,35,49,418,2,35,0,381,186,18,20.9423534304892,0,0,25,3,29,5,36,1,4,35,9,0,0,0,0,1,0,0,0,0,1,1,0,7,57,6,4,34,0,0,2,3,1,0,39,0.666666666666667,0,1,1,0,0,0,0,0,0,1,0,0,39;27,45,,66,45,0,2,2,0,0,1,0,0,0,0,0
2019,1,CLE,REG,TEN,25,38,285,1,3,5,-41,0,0,337,100,13,-17.7846495173872,-2.44915281471453,0,20,102,1,0,0,5,-4.38369102304569,0,25,38,285,1,0,0,337,100,13,-10.8063098694547,0,0,37,0,14,7,36,0,4,32,8,0,0,3,0,0,0,0,0,0,0,0,0,18,182,2,1,18,4,103,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,2,1,0,0.5,0,0,0,0,0
2019,1,DAL,REG,NYG,25,32,405,4,0,0,0,0,0,301,173,18,30.2175261463854,8.91662715002894,0,30,89,1,0,0,5,-5.70865772955585,0,25,32,405,4,0,0,301,173,18,30.2175261463854,0,0,46,0,12,0,0,3,1,4,6,0,0,5,0,0,0,0,0,0,2,2,0,6,47,2,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,5,0,0,1,0,0,0,0,0
2019,1,DEN,REG,LV,21,31,268,1,0,3,-19,3,0,243,104,11,7.57360420070697,4.53086753686269,0,23,95,0,23,0,4,-0.275933107972378,0,21,30,268,1,21,0,243,104,11,14.4335213238857,0,0,36,3,23,2,3,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,6,44,4,0,0,0,0,3,4,1,0,39,0.75,0,2,1,0,0,0,0,0,0,0,0,1,26;26;39,64,,91,64,0,1,1,0,0,1,0,0,0,0,0
2019,1,DET,REG,ARI,27,45,385,3,0,3,-24,3,1,518,157,17,11.4159767258144,4.01077524917882,0,32,116,0,32,0,5,-8.55172713584034,0,27,41,385,3,27,0,518,157,17,19.7484677570802,0,0,61,1,1,6,35,0,5,33,6,1,0,11,0,1,0,0,1,1,0,0,0,9,59,5,5,-2,3,48,2,2,0,0,55,1,0,0,1,0,1,0,0,0,0,0,0,0,55;33,,,88,0,0,3,3,0,0,1,0,0,0,0,0
2019,1,GB,REG,CHI,18,30,203,1,0,5,-37,5,0,300,87,10,-3.79053776798537,-0.9360205244135,0,22,47,0,22,0,1,-11.8474795587711,0,18,27,203,1,18,0,300,87,10,7.29529109119903,0,0,40,0,20,4,20,0,5,20,11,1,0,9,0,0,0,0,1,1,0,0,0,10,71,5,1,1,0,0,1,1,0,0,39,1,0,0,1,0,0,0,0,0,0,0,0,0,39,,,39,0,0,1,1,0,0,1,0,0,0,0,0
2019,1,HOU,REG,NO,20,30,268,3,1,6,-34,0,0,325,90,12,7.5706130945473,2.5812317585123,0,23,180,1,0,0,8,9.15255216433434,0,20,29,268,3,0,0,325,90,12,16.7045905449777,0,0,45,0,22,3,20,1,1,8,3,1,2,2,0,0,0,0,0,0,0,0,0,8,69,5,0,0,1,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1,0,0,0,0,0
2019,1,IND,REG,LAC,21,27,190,2,0,2,-17,2,0,158,98,9,6.56926578347592,10.5475855094415,0,33,203,1,33,0,14,10.3332055610809,1,21,27,190,2,21,0,158,98,9,9.84448861348464,0,0,34,3,23,4,13,1,4,23,8,1,26,3,0,0,0,0,1,2,1,1,0,3,10,4,1,5,2,44,1,3,2,0,44,0.333333333333333,0,0,0,1,0,0,0,1,0,1,0,0,44,46;29,,44,75,0,1,2,1,0,0.5,0,0,0,0,0
2019,1,JAX,REG,KC,27,33,350,3,1,1,-3,1,0,219,145,13,14.8937074142761,11.6923647396492,0,16,81,0,16,0,3,-0.535423611407168,0,27,33,350,3,27,1,219,145,13,11.7976305424255,0,0,52,0,2,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,71,4,0,0,2,38,2,2,0,0,37,1,0,1,1,0,0,0,0,0,0,0,0,0,37;23,,,60,0,0,2,2,0,0,1,0,0,0,0,0
